Age,Selectivity,gear
0,1.28669112627457e-08,Demtrawl
1,2.23721361162246e-07,Demtrawl
2,3.88977183416784e-06,Demtrawl
3,6.75856497618259e-05,Demtrawl
4,0.00116102156497439,Demtrawl
5,0.0166993289594636,Demtrawl
6,0.0725155418580132,Demtrawl
7,0.0897728083430008,Demtrawl
8,0.0910185752491128,Demtrawl
9,0.0910912752821403,Demtrawl
10,0.0910954600093803,Demtrawl
11,0.091095700697194,Demtrawl
12,0.0910957145399054,Demtrawl
13,0.091095715336041,Demtrawl
14,0.0910957153818292,Demtrawl
15,0.0910957153844626,Demtrawl
16,0.091095715384614,Demtrawl
0,0.00900458603580367,Gill
1,0.0110090935952907,Gill
2,0.013446467408897,Gill
3,0.0164036742660668,Gill
4,0.0199820258425334,Gill
5,0.0242980429531725,Gill
6,0.0294835815495831,Gill
7,0.0356847793141959,Gill
8,0.0430592692882791,Gill
9,0.0517710259616882,Gill
10,0.0619822107163535,Gill
11,0.0738415390612559,Gill
12,0.0874690831736318,Gill
13,0.102938111880981,Gill
14,0.120255547503557,Gill
15,0.139343741604078,Gill
16,0.160027219844633,Gill
0,2.26935286079936e-08,HookLine
1,7.5659521251058e-08,HookLine
2,2.5224641379622e-07,HookLine
3,8.40980487645099e-07,HookLine
4,2.8037881471157e-06,HookLine
5,9.34757577029859e-06,HookLine
6,3.11626608202431e-05,HookLine
7,0.000103874561374037,HookLine
8,0.000346083627302359,HookLine
9,0.00115127210244497,HookLine
10,0.00381012068153075,HookLine
11,0.0123992677800744,HookLine
12,0.0382882915624557,HookLine
13,0.102447650216193,HookLine
14,0.205971078594595,HookLine
15,0.295550046271826,HookLine
16,0.339887808997515,HookLine
0,1.66752795847054e-21,Seines
1,1.35121189990652e-17,Seines
2,1.09489834288769e-13,Seines
3,8.87205313689992e-10,Seines
4,7.18891736081749e-06,Seines
5,0.048347671973198,Seines
6,0.284139563738022,Seines
7,0.28431066011669,Seines
8,0.28413828736859,Seines
9,0.0526456332994865,Seines
10,0.00663597617942636,Seines
11,0.00662917028666638,Seines
12,0.0066291694467319,Seines
13,0.00662916944662825,Seines
14,0.00662916944662823,Seines
15,0.00662916944662823,Seines
16,0.00662916944662823,Seines
