Year,quarter,gear,LengthClass,natlen,tot
2017,1,Demersal Trawl,380,453.460039355346,94460
2017,1,Demersal Trawl,400,2518.02429666107,94460
2017,1,Demersal Trawl,420,7520.15072958805,94460
2017,1,Demersal Trawl,440,12823.1247035742,94460
2017,1,Demersal Trawl,460,15330.9955912806,94460
2017,1,Demersal Trawl,480,7957.34287592433,94460
2017,1,Demersal Trawl,500,9508.83083606335,94460
2017,1,Demersal Trawl,520,9921.43556137834,94460
2017,1,Demersal Trawl,540,4406.61046621201,94460
2017,1,Demersal Trawl,560,4375.64136766752,94460
2017,1,Demersal Trawl,580,3750.64813008301,94460
2017,1,Demersal Trawl,600,2611.6601574964,94460
2017,1,Demersal Trawl,620,356.932021495595,94460
2017,1,Demersal Trawl,640,3160.49812917673,94460
2017,1,Demersal Trawl,660,1118.22661428576,94460
2017,1,Demersal Trawl,680,2127.46824826919,94460
2017,1,Demersal Trawl,700,4127.83935564499,94460
2017,1,Demersal Trawl,720,629.021664175927,94460
2017,1,Demersal Trawl,740,730.27830602354,94460
2017,1,Demersal Trawl,760,1.2,94460
2017,1,Demersal Trawl,780,730.27830602354,94460
2017,1,Demersal Trawl,940,300.332599620505,94460
2017,1,Gill Nets,340,0.0972271471267335,23868
2017,1,Gill Nets,360,346.943102942902,23868
2017,1,Gill Nets,380,0.0972271471267335,23868
2017,1,Gill Nets,400,1139.99676964214,23868
2017,1,Gill Nets,420,3905.65503619859,23868
2017,1,Gill Nets,440,4216.40519977451,23868
2017,1,Gill Nets,460,3170.94485160456,23868
2017,1,Gill Nets,480,1131.65982180385,23868
2017,1,Gill Nets,500,1641.36833454077,23868
2017,1,Gill Nets,520,1639.43411796769,23868
2017,1,Gill Nets,540,872.409636874658,23868
2017,1,Gill Nets,560,1684.17365232403,23868
2017,1,Gill Nets,580,2159.64270925065,23868
2017,1,Gill Nets,600,414.717296982602,23868
2017,1,Gill Nets,620,514.591867471181,23868
2017,1,Gill Nets,640,43.5912837653168,23868
2017,1,Gill Nets,660,212.608903137675,23868
2017,1,Gill Nets,680,314.261835108448,23868
2017,1,Gill Nets,700,1.458407206901,23868
2017,1,Gill Nets,720,21.212278999898,23868
2017,1,Gill Nets,740,0.777817177013868,23868
2017,1,Gill Nets,780,0.291681441380201,23868
2017,1,Gill Nets,820,0.0972271471267335,23868
2017,1,Gill Nets,940,435.563714343848,23868
2017,1,Hooks and Lines,380,530.855385329619,NA
2017,1,Hooks and Lines,400,NA,NA
2017,1,Hooks and Lines,420,NA,NA
2017,1,Hooks and Lines,440,NA,NA
2017,1,Hooks and Lines,460,NA,NA
2017,1,Hooks and Lines,480,NA,NA
2017,1,Hooks and Lines,500,NA,NA
2017,1,Hooks and Lines,520,NA,NA
2017,1,Hooks and Lines,540,NA,NA
2017,1,Hooks and Lines,560,NA,NA
2017,1,Hooks and Lines,580,NA,NA
2017,1,Hooks and Lines,600,NA,NA
2017,1,Hooks and Lines,620,NA,NA
2017,1,Hooks and Lines,640,NA,NA
2017,1,Hooks and Lines,660,NA,NA
2017,1,Hooks and Lines,680,NA,NA
2017,1,Hooks and Lines,700,NA,NA
2017,1,Hooks and Lines,720,NA,NA
2017,1,Hooks and Lines,740,NA,NA
2017,1,Hooks and Lines,760,NA,NA
2017,1,Hooks and Lines,780,251.336908077994,NA
2017,1,Hooks and Lines,800,188.883333333333,NA
2017,1,Hooks and Lines,820,31.2267873723306,NA
2017,1,Hooks and Lines,840,188.883333333333,NA
2017,1,Other,360,1212.10001192321,26957
2017,1,Other,380,218.079595333584,26957
2017,1,Other,400,1458.10185332542,26957
2017,1,Other,420,8353.63647198288,26957
2017,1,Other,440,1618.48443600247,26957
2017,1,Other,460,3744.09792151395,26957
2017,1,Other,480,710.502238853011,26957
2017,1,Other,500,4053.39543995739,26957
2017,1,Other,520,216.027437271502,26957
2017,1,Other,540,1642.63997759302,26957
2017,1,Other,560,1403.61869770796,26957
2017,1,Other,580,320.89628591981,26957
2017,1,Other,600,59.7745482714278,26957
2017,1,Other,620,1488.34164581775,26957
2017,1,Other,640,93.6442327526805,26957
2017,1,Other,660,256.333072447612,26957
2017,1,Other,680,57.3034294943537,26957
2017,1,Other,700,15.1198962461652,26957
2017,1,Other,720,20.9416845514753,26957
2017,1,Other,760,13.9611230343169,26957
2017,1,Pelagic Trawl,380,5.43958868894602,NA
2017,1,Pelagic Trawl,400,NA,NA
2017,1,Pelagic Trawl,420,NA,NA
2017,1,Pelagic Trawl,440,NA,NA
2017,1,Pelagic Trawl,460,NA,NA
2017,1,Pelagic Trawl,480,NA,NA
2017,1,Pelagic Trawl,500,NA,NA
2017,1,Pelagic Trawl,520,NA,NA
2017,1,Pelagic Trawl,540,NA,NA
