"Month","Demersal Trawl","Gill Nets","Hooks and Lines","Seines","Recreational","TOTAL"
"January","30","35","29","1",NA,"95"
"February","30","35","29","1",NA,"95"
"March","30","35","29","1",NA,"95"
"April","30","35","29","1",NA,"95"
"May","30","35","29","1",NA,"95"
"June","30","35","29","1",NA,"95"
"July","30","35","29","1",NA,"95"
"August","30","35","29","1",NA,"95"
"September","30","35","29","1",NA,"95"
"October","30","35","29","1",NA,"95"
"November","30","35","29","1",NA,"95"
"December","30","35","29","1",NA,"95"
"TOTAL","356","421","345","12","191","1325"
"F","0.02","0.028","0.027","0.00042","0.0133","0.075"
